ticker,company_name,industry_group,sector_detail,company_type
FBC,Công ty Cổ phần Cơ khí Phổ Yên,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
FPT,Công ty Cổ phần FPT,Công nghệ Thông tin,Phần mềm,CT
VAF,Công ty Cổ phần Phân lân nung chảy Văn Điển,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
CKA,Công ty Cổ phần Cơ khí An Giang,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
VC6,Công ty cổ phần Xây dựng và Đầu tư Visicons,Xây dựng và Vật liệu,Xây dựng,CT
APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Dịch vụ tài chính,Môi giới chứng khoán,CK
TXM,Công ty Cổ phần VICEM Thạch cao Xi Măng,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
VCA,Công ty Cổ phần Thép VICASA - VNSTEEL,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
C32,Công ty Cổ phần Đầu tư và Xây dựng 3-2,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
DSH,Công ty Cổ Phần Đầu tư Hạ tầng Đông Sơn,Xây dựng và Vật liệu,Xây dựng,CT
VE1,Công ty Cổ phần Xây dựng điện VNECO 1,Xây dựng và Vật liệu,Xây dựng,CT
TQW,Công ty Cổ phần Cấp thoát nước Tuyên Quang,"Điện, nước & xăng dầu khí đốt",Nước,CT
VE4,Công ty Cổ phần Xây dựng điện VNECO4,Xây dựng và Vật liệu,Xây dựng,CT
MDF,Công ty Cổ phần Gỗ MDF VRG - Quảng Trị,Tài nguyên Cơ bản,Lâm sản và Chế biến gỗ,CT
BKC,Công ty Cổ phần Khoáng sản Bắc Kạn,Tài nguyên Cơ bản,Khai khoáng,CT
CIG,Công ty Cổ phần COMA 18,Xây dựng và Vật liệu,Xây dựng,CT
FID,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
DLR,Công ty Cổ phần Địa ốc Đà Lạt,Xây dựng và Vật liệu,Xây dựng,CT
VIX,Công ty Cổ phần Chứng khoán VIX,Dịch vụ tài chính,Môi giới chứng khoán,CK
HSL,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,Thực phẩm và đồ uống,Thực phẩm,CT
DPG,Công ty Cổ phần Tập đoàn Đạt Phương,Xây dựng và Vật liệu,Xây dựng,CT
VMC,Công ty Cổ phần VIMECO,Xây dựng và Vật liệu,Xây dựng,CT
VFS,Công ty Cổ phần Chứng khoán Nhất Việt,Dịch vụ tài chính,Môi giới chứng khoán,CK
HSP,Công ty Cổ phần Sơn Tổng hợp Hà Nội,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
ICG,Công ty Cổ phần Xây dựng Sông Hồng,Xây dựng và Vật liệu,Xây dựng,CT
